model_name,candidate_rank,candidate_config,num_layers,batch,input_features,output_features,layer_shapes,layer_parallelism,tile_m,tile_k,tile_n,build_threads,width_budget,width_used,width_slack,max_rows_per_layer,sum_cas_length,sum_parallel_factor,bottleneck_tile_workload,workload_imbalance,total_padding_waste,bn_handling,reference_kind,latency_ns,latency_us,throughput_batches_per_s,throughput_vectors_per_s,gops_per_s,output_ok,max_abs_error,status,error,active_core_count,active_column_count,active_row_count,min_active_col,max_active_col,min_active_row,max_active_row,active_col_span,active_row_span,column_band_count,row_band_count,uses_multiple_rows,uses_multiple_column_bands,output_dir
jet_tagger,0,cand_00_cols_12_wl_256_L0_PK_1_PN_4_L1_PK_4_PN_2_L2_PK_2_PN_2_L3_PK_2_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x4|4x2|2x2|2x1,4,8,8,32,31,12,19,4,9,18,256,0,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,727.2,0.7272000000000001,1375137.513751375,11001100.110011,95.75357535753575,True,0.0,success,,18,8,4,7,16,0,3,10,4,9,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_00_cols_12_wl_256_L0_PK_1_PN_4_L1_PK_4_PN_2_L2_PK_2_PN_2_L3_PK_2_PN_1
jet_tagger,1,cand_01_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_1_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|4x1|2x1|1x1,4,8,8,32,31,11,20,2,8,9,512,0,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,832.0,0.832,1201923.076923077,9615384.615384616,83.6923076923077,True,0.0,success,,9,5,3,7,11,0,2,5,3,5,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_01_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_1_L3_PK_1_PN_1
jet_tagger,2,cand_02_cols_10_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_1_PN_2_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|4x1|1x2|1x1,4,8,8,32,31,10,21,2,7,9,512,0,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,821.6,0.8216,1217137.29308666,9737098.34469328,84.75170399221032,True,0.0,success,,9,4,3,7,10,0,2,4,3,5,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_02_cols_10_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_1_PN_2_L3_PK_1_PN_1
jet_tagger,3,cand_03_cols_9_wl_512_L0_PK_1_PN_2_L1_PK_2_PN_2_L2_PK_2_PN_1_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|2x2|2x1|1x1,4,8,8,32,31,9,22,2,6,9,512,0,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,804.8,0.8048,1242544.731610338,9940357.852882704,86.52087475149106,True,0.0,success,,9,4,4,7,10,0,3,4,4,6,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_03_cols_9_wl_512_L0_PK_1_PN_2_L1_PK_2_PN_2_L2_PK_2_PN_1_L3_PK_1_PN_1
jet_tagger,4,cand_04_cols_8_wl_512_L0_PK_1_PN_2_L1_PK_2_PN_2_L2_PK_1_PN_2_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|2x2|1x2|1x1,4,8,8,32,31,8,23,2,5,9,512,0,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,811.2,0.8112,1232741.6173570019,9861932.938856015,85.83826429980276,True,0.0,success,,9,4,3,7,12,0,2,6,3,7,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_04_cols_8_wl_512_L0_PK_1_PN_2_L1_PK_2_PN_2_L2_PK_1_PN_2_L3_PK_1_PN_1
jet_tagger,37,cand_37_cols_7_wl_1024_L0_PK_1_PN_1_L1_PK_1_PN_2_L2_PK_1_PN_1_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x1|1x2|1x1|1x1,4,8,8,32,31,7,24,2,4,5,1024,512,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,960.0,0.96,1041666.6666666666,8333333.333333333,72.53333333333333,True,0.0,success,,5,2,3,7,9,0,2,3,3,5,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_37_cols_7_wl_1024_L0_PK_1_PN_1_L1_PK_1_PN_2_L2_PK_1_PN_1_L3_PK_1_PN_1
jet_tagger,36,cand_36_cols_8_wl_1024_L0_PK_1_PN_1_L1_PK_2_PN_1_L2_PK_1_PN_1_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x1|2x1|1x1|1x1,4,8,8,32,31,8,23,1,5,5,1024,512,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,993.6,0.9936,1006441.2238325281,8051529.790660225,70.0805152979066,True,0.0,success,,5,4,2,7,10,0,1,4,2,3,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_36_cols_8_wl_1024_L0_PK_1_PN_1_L1_PK_2_PN_1_L2_PK_1_PN_1_L3_PK_1_PN_1
jet_tagger,5,cand_05_cols_12_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_1_L3_PK_2_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|4x1|2x1|2x1,4,8,8,32,31,12,19,2,9,10,512,256,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,803.2,0.8032,1245019.920318725,9960159.3625498,86.69322709163346,True,0.0,success,,10,6,3,7,12,0,2,6,3,5,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_05_cols_12_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_1_L3_PK_2_PN_1
jet_tagger,6,cand_06_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_2_L2_PK_2_PN_1_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|4x2|2x1|1x1,4,8,8,32,31,11,20,2,8,13,512,256,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,805.6,0.8056,1241310.8242303873,9930486.593843099,86.43495531281033,True,0.0,success,,13,5,4,7,11,0,3,5,4,6,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_06_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_2_L2_PK_2_PN_1_L3_PK_1_PN_1
jet_tagger,7,cand_07_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_2_L3_PK_1_PN_1,4,8,16,8,16x64|64x32|32x32|32x8,1x2|4x1|2x2|1x1,4,8,8,32,31,11,20,2,8,11,512,256,256,batchnorm_folded_into_dense_weights_and_bias,hls_bit_exact,788.0,0.788,1269035.5329949239,10152284.263959391,88.36548223350253,True,0.0,success,,11,7,3,7,14,0,2,8,3,6,1,True,True,/home/a.gnaneswaran/fpl26/aie4ml/experiments/runs/models/jet_tagger/cand_07_cols_11_wl_512_L0_PK_1_PN_2_L1_PK_4_PN_1_L2_PK_2_PN_2_L3_PK_1_PN_1
